tcp        0      1 127.0.0.1:54348         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54350         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54352         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54354         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54356         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54358         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54360         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54362         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54364         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54366         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54368         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54370         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54372         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54374         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54376         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54378         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54380         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54382         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54384         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54386         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54388         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54390         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54392         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54394         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54396         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54398         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54400         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54402         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54404         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54406         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54408         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54410         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54412         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54414         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54416         127.0.0.1:12344         SYN_SENT   
